######################################,,,,,,,,,,,EMO/NEU,POS/NEG,EMOTION,VALENCE,0-None 1- side-effect 2-Therapy 3-Sympathy-Empathy
Anyone can make up a testimonial.,,,,,,,,,M,0,0,0,0,0,0
Testimonials are not facts.,,,,,,,,,M,1-Jan,0,0,0,0,0
Dana Farber is considered a center of excellence by the National Cancer Care Network.,,,,,,, ,,M,11,0,0,0,0,0
I just buried a friend who sought alternative treatment first at stage one at that point it was curable.,,,,,,,,,M,11,1,0,2000-10,-1,2
By the time she sought standard treatment it was too late.,,,,,,,,,M,1-Jan,1,0,2000-10,-1,0
The time to seek alternative care is after traditional fails.,,,,,,,,,M,11,1,0,2000-10,-1,2
#######################################,,,,,,,,,,#,#,#,#,#,#
I have been taking Opdivo infusions since mid April.,,,,,,,,,M,0,0,0,0,0,2
I was tired before I started and tired after.,,,,,,,,,M,1-Jan,1,0,2000-10,-1,1
Since I began Opdivo after having had Gamma Knife chemo and a lobectomy it's hard to say what effect Opdivo had on my energy level.,,,,,,,,,M,0,1,0,2000-10,-1,2
I did have pseudoprogression you mentioned (didn't know there was a word for it - thanks!).,,,,,,,,,M,11,1,0,2000-10,-1,2
One new tumor appeared right after starting and was gone completely two weeks later.,,,,,,,,,M,11,0,0,0,0,1
I am currently am in NED and my oncologist still has me planned out for two more years of Opdivo.,,,,,,,,,M,0,0,0,0,0,2
The possible side effects have me thinking but when you think about no cancer treatment is without risk.,,,,,,,,,M,1-Jan,1,0,00-10-10,-1,1
########################################,,,,,,,,,,#,#,#,#,#,#
On a side note for a long while I just accepted my fatigue figuring it was better than nausea and pain.,,,,,,,,,M,1-Jan,1,1,100,1,1
But after awhile I started wondering what the point was in surviving if I spent most of my days in bed or on the sofa.,,,,,,,,,M,1-Jan,1,1,100,1,0
I asked my oncologist if she had any solutions and she prescribed Adderol.,,,,,,,,,M,0,1,1,100,1,2
Have to admit I have mixed feelings about taking a stimulant on a regular basis but not enough to stop enjoying the vertical life.,,,,,,,,,M,11,1,1,100,1,0
#########################################,,,,,,,,,,#,#,#,#,#,#
Hello Lisa first off words do not aduically describe the depth of pain and sorry people go through with news like this.,,,,,,,,,F,1-Jan,1,0,2000-10,-1,3
my mom died of lung cancer 1 day ago. she was diagnosed 3 months before.,,,,,,,,,F,1-Jan,1,0,0000-20,-2,0
she was 61 years of age.,,,,,,,,,F,0,0,0,0,0,0
I will say this everyone is different be there for mom try and be strong for her.,,,,,,,,,F,11,1,0,2000-10,-1,3
you will find strength.,,,,,,,,,F,11,1,1,100,1,2
##########################################,,,,,,,,,M,#,#,#,#,#,#
The life expectancy you read about is based on the experiences of hundreds of thousands of patients and their outcomes charted on a bell curve.,,,,,,,,,M,0,0,0,0,0,0
There is no way to tell where your mom will come out on that curve.,,,,,,,,,M,0,1,0,2000-10,-1,3
As you explore check out the inspire.com website.,,,,,,,,,M,0,1,1,100,1,3
While there search for entries by stage4 survivor.,,,,,,,,,M,0,1,1,100,1,3
He no longer participates there but his entries remain.,,,,,,,,,M,0,1,1,100,1,3
His stage 4 adenocarcinoma was discovered because he was having cognitive issues.,,,,,,,,,M,1-Jan,1,0,2000-10,-1,1
It turned out he had several brain mets with the lung primary.,,,,,,,,,M,1-Jan,1,0,2000-10,-1,1
That was 17 years ago and he's still kicking.,,,,,,,,,M,0,1,-1,00000-10,-1,1
###########################################,,,,,,,,,M,#,#,#,#,#,#
In the past year there have been 6 new treatments approved for lung cancer.,,,,,,,,,M,11,1,1,100,1,2
A couple of them cross the blood brain barrier and can prevent mets from developing or getting larger.,,,,,,,,,M,11,1,1,100,1,2
The key to treatment is based on the testing of the cancer to learn where the DNA got screwed up.,,,,,,,,,M,0,0,0,0,0,2
############################################,,,,,,,,,F,#,#,#,#,#,#
I was diagnosed with StageIV with brain mets last May and the prognosis for your mom maybe be better than you think.,,,,,,,,,F,11,1,0,2000-10,-1,3
"If she only has tumors in her lung and brain this is a fairly rare situation called ""Oligometastastasis"".",,,,,,,,,F,11,1,0,2000-10,-1,3
That's a fancy term for having only one metastasis.,,,,,,,,,F,0,0,0,0,0,0
Since mine was also in the brain the oncologist wanted to go after that one first as it was affecting my speech balance and other motor functions.,,,,,,,,,F,0,0,0,0,0,1
We discussed whole brain radiation brain surgery and radiotactic surgery (in my case the brand name was Gamma Knife.) Since the downside of whole brain radiation didn't appeal to me and cutting my head open was well cutting my head open we opted for the Gamma Knife.,,,,,,,,,F,1-Jan,0,0,0,0,2
After the gamma rays cooked the tumor we began platinum based chemo (Carboplatin and Pemetrexed).,,,,,,,,,F,11,0,0,0,0,2
The lung tumor shrunk to the point that it was ready for surgery.,,,,,,,,,F,11,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,0,#,#
Again we discussed options.,,,,,,,,,M,0,0,0,0,0,0
The surgeon initially suggested a wedge resection which would cut out a part of my lung around the tumor.,,,,,,,,,M,0,0,0,0,0,2
However I personally thought if you're going that far she might as well take out the whole lobe to make sure it was all gone.,,,,,,,,,M,0,0,0,0,0,2
Plus to a non-doctor like myself it seemed simpler for her to cut along the lobe rather than cut out a wedge.,,,,,,,,,M,0,0,0,0,0,2
She agreed so that's what we did.,,,,,,,,,M,0,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Before and after surgery my wife and I hounded both my general oncologist and the surgeon to do genomic testing on the tumor as last year nivolumab had just been fast-tracked by the FDA for approval.,,,,,,,,,M,11,1,1,100,1,2
Not that we didn't expect the treatments to work but I always feel better if I have a next step in mind and hope I don't need it.,,,,,,,,,M,11,1,1,100,1,0
After a couple of months of reminding them they finally sent out a sample for testing.,,,,,,,,,M,11,1,1,100,1,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Then more mets started popping up but still only in my brain.,,,,,,,,,M,0,0,0,0,0,1
"Did two more rounds of Gamma Knife to get rid of them and my oncologist wanted to ""wait and see"" what happened over the next few months.",,,,,,,,,M,0,0,0,0,1,2
Well since the brain mets were coming weeks apart we said our goodbyes followed our radiology oncologist to another facility.,,,,,,,,,M,0,0,0,0,0,1
#############################################,,,,,,,,,M,#,#,#,#,#,#
We went to the general oncologist armed with a box of files including the hard fought genomic testing results.,,,,,,,,,M,1-Jan,0,0,0,0,2
"The first question she asked was ""why aren't you on Opdivo"" (Bristol-Myers Squbb brand name for nivolumab).",,,,,,,,,M,0,0,0,0,0,2
Turns out I was in another rare case where 20% of NSCLC patients have the PDL-1 protein marker that allows Opdivo to do its work.,,,,,,,,,M,0,0,0,0,0,1
"The PDL-1 ""hides"" the tumors so the immune system ignores them.",,,,,,,,,M,0,0,0,0,0,1
Opdivo removes the protein hiding the tumors and kicks up your immune system.,,,,,,,,,M,0,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Now while the day to day side effects of my twice monthly Opdivo infusions are a piece of cake compared to the traditional chemo I had before it is not without risks so don't think I'm touting it as a miracle.,,,,,,,,,M,1-Jan,1,0,00-10-10,-1,2
Each of us is different and what cures one person might well kill another.,,,,,,,,,M,0,0,0,0,0,2
But in my case it is working.,,,,,,,,,M,11,1,1,100,1,2
Right before I started I noticed a new tumor ouside my lung.,,,,,,,,,M,0,1,0,2000-10,-1,1
The oncologist wanted to leave it alone to see if the Opdivo did anything.,,,,,,,,,M,0,0,0,0,0,2
It got bitter right after starting Opdivo then disappeared completely in about two weeks.,,,,,,,,,M,1-Jan,1,1,100,1,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
So back to the main point:  Oligometastasis is a good thing.,,,,,,,,,M,11,1,1,100,1,2
Offers a remote chance of a cure and a better chance of survival.,,,,,,,,,M,11,1,1,100,1,2
Just google it and your head will be swimming with medical jargon before you know it.,,,,,,,,,M,0,1,1,101,1,2
#############################################,,,,,,,,,F,#,#,#,#,#,#
If your mom's oncologist hasn't heard of it maybe it's time to shop around for another one.,,,,,,,,,F,0,1,1,100,1,2
In the meantime I'm going on a limb and suggest strongly that you get the primary tumor in her lung genomically tested.,,,,,,,,,F,0,1,1,100,1,2
She may not have the PDL-1 or PD1 protein but there are some mutations it may have that will widen her treatment options.,,,,,,,,,F,11,1,1,100,1,2
#############################################,,,,,,,,,F,#,#,#,#,#,#
I have no idea what the future holds.,,,,,,,,,F,0,1,0,00-1000,-1,0
The first oncologist that saw me in the ER when I was diagnosed told us not to make plans for Christmas last year.,,,,,,,,,F,0,1,0,2000-10,-1,0
Today I am currently in NED and doing my best to stay that way.,,,,,,,,,F,11,1,1,100,1,0
#############################################,,,,,,,,,F,#,#,#,#,#,#
Thanks for getting back to me.,,,,,,,,,F,11,1,1,100,1,0
Sadly I was on the esophageal boards 4 years ago when my dad was diagnosed with stage IV esophageal cancer.,,,,,,,,,F,1-Jan,1,0,0000-20,-2,0
He passed away about 4 months after diagnosis.,,,,,,,,,F,1-Jan,1,0,2000-10,-1,1
And here we are again. Hard to comprehend.,,,,,,,,,F,1-Jan,1,0,1/2/00,-1,0
I had read about Opdivo but we're still just getting the initial treatment plan set up.,,,,,,,,,F,0,0,0,0,0,2
And I'm waiting to hear what the 2nd opinion (online) from Dana Farber will be (not expecting a different diagnosis just want to make sure the treatment plans are similar).,,,,,,,,,F,0,0,0,0,0,0
