######################################,,,,,,,,,M,,EMO/NEU,POS/NEG,EMOTION,VALENCE,0-None 1- side-effect 2-Therapy 3-Sympathy-Empathy
Anyone can make up a testimonial.,,,,,,,,,,0,0,0,0,0,0
Testimonials are not facts.,,,,,,,,,,1-Jan,0,0,0,0,0
Dana Farber is considered a center of excellence by the National Cancer Care Network.,,,,,,, ,,,11,0,0,0,0,0
I just buried a friend who sought alternative treatment first at stage one at that point it was curable.,,,,,,,,,,11,1,0,2000-10,-1,2
By the time she sought standard treatment it was too late.,,,,,,,,,,1-Jan,1,0,2000-10,-1,0
The time to seek alternative care is after traditional fails.,,,,,,,,,,11,1,0,2000-10,-1,2
#######################################,,,,,,,,,M,#,#,#,#,#,#
I have been taking Opdivo infusions since mid April.,,,,,,,,,,0,0,0,0,0,2
I was tired before I started and tired after.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
Since I began Opdivo after having had Gamma Knife chemo and a lobectomy it's hard to say what effect Opdivo had on my energy level.,,,,,,,,,,0,1,0,2000-10,-1,2
I did have pseudoprogression you mentioned (didn't know there was a word for it - thanks!).,,,,,,,,,,11,1,0,2000-10,-1,2
One new tumor appeared right after starting and was gone completely two weeks later.,,,,,,,,,,11,0,0,0,0,1
I am currently am in NED and my oncologist still has me planned out for two more years of Opdivo.,,,,,,,,,,0,0,0,0,0,2
The possible side effects have me thinking but when you think about no cancer treatment is without risk.,,,,,,,,,,1-Jan,1,0,00-10-10,-1,1
########################################,,,,,,,,,M,#,#,#,#,#,#
On a side note for a long while I just accepted my fatigue figuring it was better than nausea and pain.,,,,,,,,,,1-Jan,1,1,100,1,1
But after awhile I started wondering what the point was in surviving if I spent most of my days in bed or on the sofa.,,,,,,,,,,1-Jan,1,1,100,1,0
I asked my oncologist if she had any solutions and she prescribed Adderol.,,,,,,,,,,0,1,1,100,1,2
Have to admit I have mixed feelings about taking a stimulant on a regular basis but not enough to stop enjoying the vertical life.,,,,,,,,,,11,1,1,100,1,0
#########################################,,,,,,,,,F,#,#,#,#,#,#
Hello Lisa first off words do not aduically describe the depth of pain and sorry people go through with news like this.,,,,,,,,,,1-Jan,1,0,2000-10,-1,3
my mom died of lung cancer 1 day ago. she was diagnosed 3 months before.,,,,,,,,,,1-Jan,1,0,0000-20,-2,0
she was 61 years of age.,,,,,,,,,,0,0,0,0,0,0
I will say this everyone is different be there for mom try and be strong for her.,,,,,,,,,,11,1,0,2000-10,-1,3
you will find strength.,,,,,,,,,,11,1,1,100,1,2
##########################################,,,,,,,,,M,#,#,#,#,#,#
The life expectancy you read about is based on the experiences of hundreds of thousands of patients and their outcomes charted on a bell curve.,,,,,,,,,,0,0,0,0,0,0
There is no way to tell where your mom will come out on that curve.,,,,,,,,,,0,1,0,2000-10,-1,3
As you explore check out the inspire.com website.,,,,,,,,,,0,1,1,100,1,3
While there search for entries by stage4 survivor.,,,,,,,,,,0,1,1,100,1,3
He no longer participates there but his entries remain.,,,,,,,,,,0,1,1,100,1,3
His stage 4 adenocarcinoma was discovered because he was having cognitive issues.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
It turned out he had several brain mets with the lung primary.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
That was 17 years ago and he's still kicking.,,,,,,,,,,0,1,-1,00000-10,-1,1
###########################################,,,,,,,,,M,#,#,#,#,#,#
In the past year there have been 6 new treatments approved for lung cancer.,,,,,,,,,,11,1,1,100,1,2
A couple of them cross the blood brain barrier and can prevent mets from developing or getting larger.,,,,,,,,,,11,1,1,100,1,2
The key to treatment is based on the testing of the cancer to learn where the DNA got screwed up.,,,,,,,,,,0,0,0,0,0,2
############################################,,,,,,,,,F,#,#,#,#,#,#
I was diagnosed with StageIV with brain mets last May and the prognosis for your mom maybe be better than you think.,,,,,,,,,,11,1,0,2000-10,-1,3
"If she only has tumors in her lung and brain this is a fairly rare situation called ""Oligometastastasis"".",,,,,,,,,,11,1,0,2000-10,-1,3
That's a fancy term for having only one metastasis.,,,,,,,,,,0,0,0,0,0,0
Since mine was also in the brain the oncologist wanted to go after that one first as it was affecting my speech balance and other motor functions.,,,,,,,,,,0,0,0,0,0,1
We discussed whole brain radiation brain surgery and radiotactic surgery (in my case the brand name was Gamma Knife.) Since the downside of whole brain radiation didn't appeal to me and cutting my head open was well cutting my head open we opted for the Gamma Knife.,,,,,,,,,,1-Jan,0,0,0,0,2
After the gamma rays cooked the tumor we began platinum based chemo (Carboplatin and Pemetrexed).,,,,,,,,,,11,0,0,0,0,2
The lung tumor shrunk to the point that it was ready for surgery.,,,,,,,,,,11,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,0,#,#
Again we discussed options.,,,,,,,,,,0,0,0,0,0,0
The surgeon initially suggested a wedge resection which would cut out a part of my lung around the tumor.,,,,,,,,,,0,0,0,0,0,2
However I personally thought if you're going that far she might as well take out the whole lobe to make sure it was all gone.,,,,,,,,,,0,0,0,0,0,2
Plus to a non-doctor like myself it seemed simpler for her to cut along the lobe rather than cut out a wedge.,,,,,,,,,,0,0,0,0,0,2
She agreed so that's what we did.,,,,,,,,,,0,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Before and after surgery my wife and I hounded both my general oncologist and the surgeon to do genomic testing on the tumor as last year nivolumab had just been fast-tracked by the FDA for approval.,,,,,,,,,,11,1,1,100,1,2
Not that we didn't expect the treatments to work but I always feel better if I have a next step in mind and hope I don't need it.,,,,,,,,,,11,1,1,100,1,0
After a couple of months of reminding them they finally sent out a sample for testing.,,,,,,,,,,11,1,1,100,1,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Then more mets started popping up but still only in my brain.,,,,,,,,,,0,0,0,0,0,1
"Did two more rounds of Gamma Knife to get rid of them and my oncologist wanted to ""wait and see"" what happened over the next few months.",,,,,,,,,,0,0,0,0,1,2
Well since the brain mets were coming weeks apart we said our goodbyes followed our radiology oncologist to another facility.,,,,,,,,,,0,0,0,0,0,1
#############################################,,,,,,,,,M,#,#,#,#,#,#
We went to the general oncologist armed with a box of files including the hard fought genomic testing results.,,,,,,,,,,1-Jan,0,0,0,0,2
"The first question she asked was ""why aren't you on Opdivo"" (Bristol-Myers Squbb brand name for nivolumab).",,,,,,,,,,0,0,0,0,0,2
Turns out I was in another rare case where 20% of NSCLC patients have the PDL-1 protein marker that allows Opdivo to do its work.,,,,,,,,,,0,0,0,0,0,1
"The PDL-1 ""hides"" the tumors so the immune system ignores them.",,,,,,,,,,0,0,0,0,0,1
Opdivo removes the protein hiding the tumors and kicks up your immune system.,,,,,,,,,,0,0,0,0,0,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
Now while the day to day side effects of my twice monthly Opdivo infusions are a piece of cake compared to the traditional chemo I had before it is not without risks so don't think I'm touting it as a miracle.,,,,,,,,,,1-Jan,1,0,00-10-10,-1,2
Each of us is different and what cures one person might well kill another.,,,,,,,,,,0,0,0,0,0,2
But in my case it is working.,,,,,,,,,,11,1,1,100,1,2
Right before I started I noticed a new tumor ouside my lung.,,,,,,,,,,0,1,0,2000-10,-1,1
The oncologist wanted to leave it alone to see if the Opdivo did anything.,,,,,,,,,,0,0,0,0,0,2
It got bitter right after starting Opdivo then disappeared completely in about two weeks.,,,,,,,,,,1-Jan,1,1,100,1,2
#############################################,,,,,,,,,M,#,#,#,#,#,#
So back to the main point:  Oligometastasis is a good thing.,,,,,,,,,,11,1,1,100,1,2
Offers a remote chance of a cure and a better chance of survival.,,,,,,,,,,11,1,1,100,1,2
Just google it and your head will be swimming with medical jargon before you know it.,,,,,,,,,,0,1,1,101,1,2
#############################################,,,,,,,,,F,#,#,#,#,#,#
If your mom's oncologist hasn't heard of it maybe it's time to shop around for another one.,,,,,,,,,,0,1,1,100,1,2
In the meantime I'm going on a limb and suggest strongly that you get the primary tumor in her lung genomically tested.,,,,,,,,,,0,1,1,100,1,2
She may not have the PDL-1 or PD1 protein but there are some mutations it may have that will widen her treatment options.,,,,,,,,,,11,1,1,100,1,2
#############################################,,,,,,,,,F,#,#,#,#,#,#
I have no idea what the future holds.,,,,,,,,,,0,1,0,00-1000,-1,0
The first oncologist that saw me in the ER when I was diagnosed told us not to make plans for Christmas last year.,,,,,,,,,,0,1,0,2000-10,-1,0
Today I am currently in NED and doing my best to stay that way.,,,,,,,,,,11,1,1,100,1,0
#############################################,,,,,,,,,F,#,#,#,#,#,#
Thanks for getting back to me.,,,,,,,,,,11,1,1,100,1,0
Sadly I was on the esophageal boards 4 years ago when my dad was diagnosed with stage IV esophageal cancer.,,,,,,,,,,1-Jan,1,0,0000-20,-2,0
He passed away about 4 months after diagnosis.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
And here we are again. Hard to comprehend.,,,,,,,,,,1-Jan,1,0,1/2/2000,-1,0
I had read about Opdivo but we're still just getting the initial treatment plan set up.,,,,,,,,,,0,0,0,0,0,2
And I'm waiting to hear what the 2nd opinion (online) from Dana Farber will be (not expecting a different diagnosis just want to make sure the treatment plans are similar).,,,,,,,,,,0,0,0,0,0,0
I've been here in NJ with my mom for 9 days now.,,,,,,,,,,0,0,0,0,0,0
I'm taking her to radiation tomorrow and then have to head back to Boston.,,,,,,,,,,0,0,0,0,0,2
My aunt and cousin will be taking over driving/helping out through Tuesday when her radiation tx ends.,,,,,,,,,,0,0,0,0,0,0
It has been so hard to watch my mom go through this but it has also been a blessing to spent this much time with her.,,,,,,,,,,1-Jan,1,0,0000-20,-2,0
I am cherishing every moment.,,,,,,,,,,11,1,1,200,2,0
As for chemo even the radiation has been tough for her (making her tired and she also can't drive while on the pain meds.).,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
She is excruciatingly independent and that has been one of the toughest parts for her.,,,,,,,,,,1-Jan,1,0,0000-20,-2,0
With my dad gone it is going to be so difficult for her to go through chemo here while living alone.,,,,,,,,,,1-Jan,1,0,0000-20,-2,0
Right now she says she wants to stay here in NJ for tx but i think she is warming to the idea of coming to Boston as she realizes that she's sick and needs help and can't do it all alone.,,,,,,,,,,11,1,0,100,1,1
#############################################,,,,,,,,,F,#,#,#,#,#,#
My daughter is almost 13 and my son is 9. Unfortunately my in-laws can't help as they are much older and live in Pittsburgh. (This is the time in life I begin to wonder why we ever moved so far from family).,,,,,,,,,,0,1,0,0000-20,-2,0
This week the kids stayed in extended care at school until 6pm and my husband left work early to get them.,,,,,,,,,,0,1,0,2000-10,-1,1
I have a wonderful supportive community where I live so I could possibly do this again for a few weeks while she undergoes chemo here.,,,,,,,,,,11,1,1,20,2,0
It has been tough on my husband and kids but they know it's been even tougher for my mom. I will keep you posted.,,,,,,,,,,1-Jan,1,0,2000-10,-1,0
Thanks so much for listening.,,,,,,,,,,11,1,1,100,1,0
#############################################,,,,,,,,,M,#,#,#,#,#,#
You appear to be a kind good hearted person willing to go to such lengths to help your mom go through this.,,,,,,,,,,11,1,1,200,1,3
In fact your post is the reason I joined this forum today.,,,,,,,,,,0,1,1,100,1,3
Your mom  is blessed to have you your husband and your kids.,,,,,,,,,,11,1,1,100,1,3
But having you all around her instead of in another state sounds like it would be much better for everyone involved.,,,,,,,,,,11,1,1,100,1,3
While she is the one who physically has cancer it affects your family just as profoundly.,,,,,,,,,,1-Jan,1,0,0000-20,-2,3
Yes having cancer can be terrifying and losing a measure of independence is a challenge.,,,,,,,,,,1-Jan,1,0,2000-10,-1,3
But as you pointed out Boston is where your life  support system and family are and you will be more able to help her if you are on solid ground yourself.,,,,,,,,,,11,1,1,100,1,3
It's like what the flight attendants tell you before takeoff:  Secure your own oxygen mask before assisting others.,,,,,,,,,,0,1,1,100,1,3
#############################################,,,,,,,,,M,#,#,#,#,#,#
I was diagnosed with Stage IV NSCLC last year and in the beginning I thought the cancer was mine.,,,,,,,,,,0,1,0,2000-10,-1,0
The rest of my family were concerned spectators but hey -  I was the one with cancer.,,,,,,,,,,11,1,0,2000-10,-1,0
Didn't take long though to see the suffering my family was experiencing and became clear in the first few months that the cancer was all of ours.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
Their suffering was as difficult for them as mine was for me just a different kind.,,,,,,,,,,1-Jan,1,0,0000-20,-2,1
My kids (10 and 20 at the time) were afraid to lose their dad and my wife was terrified of losing her husband.,,,,,,,,,,1-Jan,1,0,0000-20,-2,1
Cancer is very generous.  Everyone in the family gets their serving of pain.,,,,,,,,,,11,1,0,0000-20,-2,1
#############################################,,,,,,,,,M,#,#,#,#,#,#
Glad to hear your mom is warming up to the idea of moving to Boston where your support system could become hers.,,,,,,,,,,11,1,1,100,1,3
#############################################,,,,,,,,,M,#,#,#,#,#,#
You won't be much help to her stressed out about her her treatments and taking care of her at the same time worrying about your family back home.,,,,,,,,,,1-Jan,1,1,100,1,3
#############################################,,,,,,,,,F,#,#,#,#,#,#
The fact that her radiation treatments are ending and the chemo hasn't started yet makes this an excellent time for you to take her to Dana Farber for a second opinion.,,,,,,,,,,11,1,1,100,1,2
If you take her before chemo and present it as an option to consider and not a decision that has been made that might help with the transition.,,,,,,,,,,11,1,1,100,1,0
I wouldn't wait though as switching doctors and medical facilities during ongoing treatment doesn't sound like the best of ideas.,,,,,,,,,,0,1,1,100,1,2
#############################################,,,,,,,,,F,#,#,#,#,#,#
Hi Diana I so hope that you will answer this.,,,,,,,,,,0,1,0,00-1000,-1,0
My husband--age 56-- has been diagnosed with pancoast tumor in Oct. of 2010.,,,,,,,,,,0,1,0,2000-10,-1,0
Everything is going against him (horners syndrome above right lung tumor was in spine inoperable).,,,,,,,,,,1-Jan,1,0,00-10-20,-2,1
"He has been given the ""big guns"" of high doses of chemo and radiation--- which took his back pain away (thank God!).",,,,,,,,,,11,1,1,200,2,2
A month later he went for a check up and couldn't get a CAT or PET due to inflammation of his larnyx and breathing tube--- they had to get very close to that area with radiation.,,,,,,,,,,0,0,0,0,0,2
He has the next appt. for Jan. 5 for a CAT and PET and we will be given the results on Jan. 10th.,,,,,,,,,,0,0,0,0,0,2
He was regaining his strength and stamina through minimal exercise but has always (since diagnosis) felt like he was breathing through a straw and has labored swallowing.,,,,,,,,,,11,1,0,2000-10,-1,1
Maybe this has improved??? But now the last few days he has had quite harsh pain in his upper chest area--- front and back.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
Naturally we are concerned and anxiously awaiting to get the results of his scans.,,,,,,,,,,0,1,0,00-20-20,-2,0
Please communicate with us as we need to hear of success stories.,,,,,,,,,,11,1,0,0000-20,-2,0
Thank you Sincerely Bonnie Pearson ---- bpearson57@gmail.com,,,,,,,,,,11,1,1,100,1,0
#############################################,,,,,,,,,F,#,#,#,#,#,#
Yes Alan I did mean Oct. 2011... getting my years mixed up.,,,,,,,,,,0,0,0,0,0,0
"I am sorry about your hardship but no matter how many ""extra"" years you get you always want more.",,,,,,,,,,1-Jan,1,0,2000-10,-1,0
We are new in this fight.,,,,,,,,,,0,0,0,0,0,0
We were not told what stage this tumor was in but we do know that it was measured at 97 cubic centimeters...,,,,,,,,,,0,0,0,0,0,1
Steve has suffered since April 2011 with a very painful upper back with countless trips to the chiro.,,,,,,,,,,1-Jan,1,1,2000-10,-1,1
That was followed with laryngitis in Sept. for 5 weeks before he went to the Dr.,,,,,,,,,,0,0,0,0,0,1
It made the dr. sit up straight when he mentioned that he didn't know if it was related to his throat problem but his right eye lid was droopy--- well of course you know what that means.,,,,,,,,,,0,1,0,2000-10,-1,1
"A few days later we are regular visitors at a hospital with radiation (7 weeks with the ""big guns"") and chemo (1 week and 1 day at the beginning and then again at the end-- again the ""big guns"") after we were told that it was inoperable.",,,,,,,,,,1-Jan,1,0,2000-10,-1,2
For 3 full weeks (over Christmas) he had no pain good appetite and his stamina and strength was going forward slowly but steadily.,,,,,,,,,,11,1,1,100,1,0
But throughout during and after the treatment he feels like he is breathing through a straw and swallowing is labored due to the pressure of the tumor on this area and/or the radiation was directed as close to that area as they dared without ruining it.,,,,,,,,,,0,1,1,2000-10,-1,1
Now that brings us to today.... the last 5 days he has suffered brand new pain in his upper chest area--- front and back and both of his arms and hands.,,,,,,,,,,1-Jan,1,0,2000-10,-1,1
This is terrifying to us as the pain had dominated his right body mostly and now it is in both sides.,,,,,,,,,,1-Jan,1,0,00-2000,-2,1
Tomorrow we go for a CAT and PET and will get told the results on Tues. the 10th.,,,,,,,,,,0,0,0,0,0,2
Thank you for any tips or/and encouragement you can give us.,,,,,,,,,,11,1,1,100,1,0
We hope that you are enjoying a good quality of life.,,,,,,,,,,11,1,1,100,1,0
#############################################,,,,,,,,,F,#,#,#,#,#,#
Hi Bonnie That all sounds really familiar.,,,,,,,,,,0,1,1,100,1,3
